#transaccion,fecha,Código Producto,Cantidad,Precio unitario
0,2019-12-02,338,954,796
1,2017-04-28,92,427,928
2,2018-03-17,234,935,778
3,2019-06-02,171,572,417
4,2017-01-28,636,651,874
5,2018-12-05,859,594,517
6,2017-01-09,479,977,602
7,2019-11-12,260,915,853
8,2018-09-01,550,4,32
9,2019-11-11,752,846,794
10,2018-12-12,273,615,980
11,2017-06-08,878,769,928
12,2017-07-15,513,532,292
13,2017-07-18,374,277,288
14,2019-10-20,175,592,988
15,2019-04-14,444,910,182
16,2017-11-21,924,942,509
17,2018-10-12,604,321,685
18,2017-08-26,319,996,517
19,2017-11-06,298,712,37
20,2018-06-18,482,281,603
21,2019-09-30,604,372,635
22,2019-03-06,712,735,899
23,2019-06-05,477,667,464
24,2019-08-10,871,170,53
25,2018-11-01,273,603,178
26,2019-05-18,974,717,309
27,2018-08-25,160,246,235
28,2018-03-16,522,776,551
29,2018-06-25,139,164,941
30,2019-08-03,180,774,420
31,2017-02-03,163,748,771
32,2017-09-17,61,472,879
33,2018-06-26,974,193,912
34,2019-01-23,976,352,377
35,2019-12-06,827,627,71
36,2017-03-12,743,443,992
37,2017-11-25,969,726,846
38,2017-05-18,86,66,569
39,2017-03-13,630,692,504
40,2018-05-14,705,224,565
41,2018-09-15,251,632,831
42,2018-09-14,40,400,891
43,2017-04-23,699,771,527
44,2017-09-04,717,864,741
45,2017-09-08,220,577,521
46,2017-01-21,757,867,883
47,2019-03-28,701,18,935
48,2018-02-21,709,951,575
49,2018-10-04,230,115,908
50,2017-11-19,265,879,140
51,2017-06-24,49,421,712
52,2018-06-12,950,452,717
53,2019-05-23,753,263,946
54,2018-09-14,174,760,932
55,2018-11-24,924,218,556
56,2017-01-26,461,377,817
57,2019-08-09,472,527,562
58,2019-04-01,928,243,5
59,2018-05-02,461,212,424
60,2017-07-16,844,53,186
61,2017-12-05,376,414,838
62,2017-02-23,193,193,777
63,2019-11-18,374,908,520
64,2019-02-15,634,372,694
65,2019-12-26,357,541,849
66,2019-02-09,495,776,219
67,2017-09-06,22,315,902
68,2017-12-31,857,567,406
69,2017-02-13,280,150,572
70,2017-03-03,536,548,68
71,2017-07-01,799,598,755
72,2018-07-11,482,49,805
73,2018-09-14,163,79,827
74,2017-08-02,750,178,398
75,2017-05-31,902,274,459
76,2019-07-12,198,764,241
77,2018-07-25,572,309,559
78,2018-04-26,550,227,47
79,2019-11-27,310,535,383
80,2017-07-19,273,199,715
81,2017-09-17,478,159,845
82,2017-02-10,386,801,262
83,2019-12-25,577,881,479
84,2019-12-11,496,928,381
85,2019-01-17,787,416,783
86,2018-10-27,649,20,948
87,2018-09-18,342,290,581
88,2019-06-04,861,142,391
89,2018-07-05,98,152,979
90,2019-02-23,390,130,224
91,2018-05-31,245,37,226
92,2019-08-30,921,647,845
93,2017-04-29,224,66,275
94,2018-02-27,47,608,259
95,2019-03-25,225,290,441
96,2019-01-17,81,278,27
97,2018-03-10,776,525,57
98,2017-07-25,932,96,261
99,2017-06-16,597,741,376
100,2018-11-28,515,403,40
101,2019-05-22,878,345,137
102,2018-01-15,929,59,56
103,2017-09-20,103,345,788
104,2018-01-29,461,2,139
105,2018-06-08,497,784,507
106,2018-05-05,245,614,589
107,2018-08-06,596,806,679
108,2019-05-14,734,426,77
109,2017-10-06,835,994,647
110,2017-05-16,816,252,23
111,2018-08-05,446,179,367
112,2018-08-02,481,781,170
113,2017-09-06,746,890,870
114,2018-12-04,870,658,838
115,2018-04-08,400,718,609
116,2019-07-04,737,767,28
117,2019-06-10,312,349,266
118,2019-12-13,291,387,77
119,2018-02-04,64,694,741
120,2019-03-13,125,539,125
121,2019-03-02,781,82,973
122,2019-03-25,53,555,4
123,2018-02-18,719,425,851
124,2019-09-18,283,190,30
125,2017-02-09,788,618,303
126,2018-11-09,390,238,234
127,2017-01-31,984,420,751
128,2019-11-17,623,796,614
129,2017-07-03,275,550,121
130,2018-09-23,629,696,103
131,2017-04-05,212,455,173
132,2017-10-12,932,284,162
133,2018-10-13,611,327,116
134,2017-11-06,199,854,557
135,2019-09-28,483,906,111
136,2019-05-03,200,741,814
137,2019-06-18,342,746,506
138,2017-11-06,63,406,491
139,2017-05-16,573,167,556
140,2018-11-17,198,467,358
141,2019-09-30,869,607,281
142,2017-05-04,421,515,386
143,2017-10-20,960,975,457
144,2018-09-22,860,557,347
145,2017-10-15,244,337,641
146,2018-03-21,304,650,485
147,2017-08-30,308,696,39
148,2019-02-19,516,390,1
149,2019-06-20,851,512,232
150,2017-03-03,661,543,610
151,2017-02-20,63,804,171
152,2019-02-13,971,522,492
153,2019-04-05,776,832,689
154,2017-12-03,886,62,818
155,2017-06-28,583,12,316
156,2018-09-05,383,165,129
157,2019-11-17,216,659,340
158,2018-10-25,70,527,671
159,2019-09-20,81,814,891
160,2018-02-28,768,898,914
161,2019-10-03,708,462,267
162,2017-12-12,135,920,368
163,2019-05-05,9,873,663
164,2018-03-18,274,79,944
165,2019-02-25,221,760,676
166,2019-03-19,793,943,96
167,2018-05-08,847,179,948
168,2017-02-15,860,128,110
169,2018-05-09,200,100,998
170,2017-09-24,648,897,391
171,2017-04-03,374,201,496
172,2019-12-27,675,413,739
173,2019-06-19,21,613,450
174,2018-03-07,586,259,117
175,2019-11-23,410,457,643
176,2018-09-09,515,497,398
177,2018-01-21,499,365,862
178,2018-08-23,10,851,66
179,2017-01-18,510,687,208
180,2017-12-21,341,473,409
181,2017-08-14,263,662,278
182,2018-04-05,341,816,802
183,2018-01-28,737,470,458
184,2018-05-27,105,255,738
185,2019-09-28,154,865,860
186,2019-09-11,718,447,94
187,2019-03-27,90,794,752
188,2018-06-13,591,820,160
189,2018-05-18,161,616,484
190,2019-05-20,719,870,834
191,2018-10-14,976,267,659
192,2017-10-12,61,121,481
193,2017-04-08,738,47,604
194,2019-03-21,223,529,975
195,2019-10-02,539,62,627
196,2018-03-02,796,45,132
197,2019-10-16,722,103,271
198,2017-04-16,593,181,768
199,2019-12-07,799,642,654
200,2018-01-21,499,664,502
201,2018-08-26,929,175,939
202,2019-07-25,490,640,392
203,2017-03-23,270,949,276
204,2019-11-22,759,590,689
205,2017-06-23,968,797,258
206,2018-09-27,919,805,647
207,2017-03-20,69,664,268
208,2019-01-18,902,959,564
209,2018-05-27,740,801,872
210,2019-08-19,632,493,975
211,2017-03-11,722,968,227
212,2017-11-09,76,854,804
213,2019-11-09,786,187,458
214,2019-06-05,525,174,261
215,2019-07-28,688,513,711
216,2019-10-27,637,374,9
217,2019-10-20,137,142,719
218,2017-02-08,634,400,812
219,2017-01-09,183,579,248
220,2019-11-25,46,905,753
221,2017-01-23,384,625,695
222,2019-01-05,537,536,912
223,2018-03-26,138,358,724
224,2019-03-21,837,846,851
225,2017-04-15,693,855,163
226,2019-05-15,486,70,559
227,2017-02-16,246,774,514
228,2017-01-19,217,43,815
229,2019-09-18,215,780,952
230,2017-09-14,617,577,161
231,2019-09-08,928,199,921
232,2018-03-14,81,379,643
233,2017-04-25,946,908,268
234,2019-02-05,1,921,764
235,2018-06-27,561,890,229
236,2018-12-23,890,455,297
237,2017-12-09,793,652,652
238,2018-11-22,823,653,372
239,2017-04-04,115,270,409
240,2018-08-23,8,553,544
241,2017-05-13,393,785,803
242,2017-05-26,446,488,798
243,2019-06-17,724,516,511
244,2019-10-17,350,310,499
245,2018-03-19,714,264,214
246,2017-10-05,735,599,309
247,2018-07-23,784,464,103
248,2018-02-24,58,814,50
249,2018-08-12,769,190,892
250,2018-04-02,31,605,444
251,2017-10-02,17,399,461
252,2018-07-09,289,21,937
253,2017-12-18,141,551,233
254,2017-09-11,86,746,97
255,2018-12-22,92,499,334
256,2019-12-19,594,932,326
257,2018-06-22,44,285,416
258,2018-06-26,563,817,31
259,2019-01-08,983,800,927
260,2017-02-15,64,716,16
261,2019-10-24,595,426,772
262,2018-02-10,17,201,955
263,2019-05-16,420,626,714
264,2017-07-11,254,723,595
265,2019-05-07,74,75,341
266,2017-11-11,701,367,448
267,2019-12-30,632,952,157
268,2019-03-29,770,699,609
269,2017-04-11,173,680,147
270,2017-11-19,121,859,371
271,2018-10-02,14,701,274
272,2018-04-18,974,514,758
273,2018-12-26,642,392,239
274,2017-05-04,738,584,32
275,2017-08-10,113,798,683
276,2019-01-26,453,193,75
277,2017-10-11,112,448,106
278,2017-06-20,79,853,109
279,2019-10-28,775,147,245
280,2018-01-18,149,898,333
281,2019-05-13,994,651,221
282,2019-03-31,238,585,294
283,2017-01-19,282,699,965
284,2018-03-10,312,188,848
285,2018-11-09,832,504,539
286,2019-12-03,853,302,212
287,2018-03-08,977,277,20
288,2019-06-26,198,497,101
289,2019-07-24,575,320,89
290,2017-12-23,368,366,597
291,2019-11-20,3,236,288
292,2018-07-07,55,545,840
293,2017-12-26,389,397,663
294,2019-01-15,441,625,659
295,2018-02-04,555,512,460
296,2018-12-24,967,408,64
297,2018-11-20,187,251,240
298,2017-05-23,23,990,21
299,2019-04-24,620,15,777
300,2018-07-22,194,581,149
301,2017-11-11,780,131,474
302,2017-04-20,734,221,847
303,2018-07-30,959,207,778
304,2018-01-14,801,712,183
305,2019-03-26,277,40,776
306,2018-05-17,85,589,942
307,2019-03-27,537,290,40
308,2017-11-20,99,510,784
309,2019-01-04,342,452,41
310,2017-05-28,103,861,383
311,2018-01-13,0,710,460
312,2019-09-11,762,320,742
313,2019-04-13,503,155,818
314,2018-12-06,8,949,958
315,2019-09-20,616,681,427
316,2017-01-16,457,390,984
317,2017-05-08,817,631,20
318,2018-08-16,961,126,575
319,2017-06-30,708,319,693
320,2019-11-14,869,481,732
321,2018-12-30,969,750,814
322,2017-11-22,804,497,171
323,2018-07-15,713,160,598
324,2017-07-08,226,44,464
325,2017-06-16,862,395,97
326,2019-11-25,189,906,728
327,2017-04-24,763,490,401
328,2017-07-24,751,101,632
329,2018-07-16,481,998,409
330,2019-02-04,396,972,718
331,2019-07-01,322,497,613
332,2018-11-24,619,774,752
333,2019-02-17,825,737,291
334,2019-02-09,153,63,479
335,2018-11-24,616,400,535
336,2019-07-04,889,955,164
337,2018-05-25,554,409,546
338,2019-09-20,101,944,117
339,2017-11-19,455,472,84
340,2019-08-16,802,566,270
341,2018-10-12,434,319,855
342,2019-03-07,228,931,718
343,2018-05-15,279,356,437
344,2018-02-24,242,739,546
345,2018-08-30,27,336,863
346,2017-01-14,485,464,559
347,2017-11-11,80,477,364
348,2019-08-17,878,517,409
349,2018-10-22,495,21,529
350,2019-03-03,363,982,828
351,2019-02-03,778,980,551
352,2017-03-10,471,121,484
353,2017-02-11,643,729,48
354,2017-09-24,140,596,45
355,2018-07-26,28,2,657
356,2019-05-18,284,449,344
357,2019-08-14,936,385,428
358,2019-05-01,951,936,704
359,2017-10-31,441,11,428
360,2019-03-31,78,345,981
361,2017-02-25,879,1000,466
362,2019-12-09,744,287,716
363,2017-02-18,905,26,658
364,2018-07-02,906,538,699
365,2018-04-09,242,681,409
366,2017-08-10,453,263,106
367,2017-03-21,982,843,751
368,2018-08-08,74,386,343
369,2019-07-17,10,87,229
370,2019-01-07,502,730,935
371,2019-09-18,643,139,137
372,2017-10-26,68,473,288
373,2019-01-21,389,802,772
374,2019-10-30,348,525,175
375,2019-01-03,931,75,168
376,2019-10-20,40,575,682
377,2017-06-06,374,342,593
378,2019-05-04,72,124,773
379,2017-07-19,508,983,545
380,2019-05-08,841,771,693
381,2019-12-10,291,517,689
382,2019-12-01,417,558,824
383,2017-03-28,283,313,427
384,2018-02-01,459,386,875
385,2017-01-10,179,202,864
386,2017-03-04,112,520,178
387,2018-06-02,751,521,350
388,2019-03-11,415,344,430
389,2017-07-31,228,501,221
390,2018-07-09,745,296,878
391,2017-03-29,428,828,445
392,2019-03-16,910,933,475
393,2018-04-15,622,193,233
394,2019-04-28,83,927,157
395,2019-08-06,241,291,834
396,2018-12-28,914,298,727
397,2017-03-23,684,92,903
398,2017-05-23,253,441,838
399,2019-11-26,572,390,786
400,2019-06-08,549,12,126
401,2019-07-02,534,578,879
402,2017-03-28,359,926,29
403,2018-02-22,43,860,648
404,2019-05-13,679,129,640
405,2017-05-14,918,440,584
406,2019-05-18,39,456,876
407,2018-05-24,285,75,728
408,2018-09-23,224,900,22
409,2018-01-05,525,77,463
410,2018-02-18,154,363,381
411,2017-03-29,519,894,480
412,2018-01-18,770,475,79
413,2018-02-23,946,628,85
414,2019-11-04,207,713,637
415,2017-04-25,636,905,17
416,2019-02-05,353,929,144
417,2017-09-19,727,389,380
418,2019-04-22,381,366,256
419,2017-11-10,283,742,598
420,2019-04-04,856,647,664
421,2019-02-11,176,337,440
422,2018-04-23,632,41,253
423,2019-10-15,590,351,67
424,2017-09-17,772,836,436
425,2018-05-04,100,257,721
426,2018-09-14,556,482,316
427,2017-11-22,652,647,964
428,2018-11-20,583,719,898
429,2018-05-27,816,31,940
430,2018-05-26,345,928,67
431,2019-06-11,978,324,166
432,2019-01-20,483,812,876
433,2017-06-12,186,63,560
434,2019-05-09,564,623,147
435,2018-09-11,508,528,280
436,2018-10-17,108,817,121
437,2017-12-07,909,403,833
438,2017-06-17,77,515,880
439,2019-07-30,364,811,23
440,2017-11-19,129,192,909
441,2017-04-07,801,372,358
442,2019-04-07,467,582,799
443,2018-03-08,86,106,551
444,2017-04-27,327,198,867
445,2017-11-18,783,900,770
446,2018-07-02,358,657,282
447,2018-09-12,749,980,666
448,2018-07-03,989,25,868
449,2017-05-07,104,985,32
450,2018-12-03,688,876,800
451,2017-01-10,28,732,815
452,2019-07-21,208,307,181
453,2018-10-28,136,184,94
454,2017-12-04,480,358,757
455,2017-08-13,173,82,469
456,2017-03-11,874,545,147
457,2017-01-04,661,861,880
458,2018-06-29,537,721,16
459,2017-06-04,403,242,300
460,2017-05-11,509,697,161
461,2019-01-24,627,606,894
462,2018-04-20,643,778,871
463,2017-12-10,882,446,495
464,2019-09-20,805,269,304
465,2019-08-16,841,764,864
466,2017-04-23,327,246,711
467,2018-05-28,551,900,44
468,2019-01-02,181,489,774
469,2018-08-30,992,37,397
470,2017-10-14,385,204,402
471,2019-06-18,880,104,56
472,2017-01-05,619,694,807
473,2017-04-14,720,542,81
474,2018-11-12,463,879,750
475,2018-09-15,260,223,234
476,2017-11-08,694,659,77
477,2018-10-27,416,976,875
478,2017-12-11,117,48,861
479,2017-03-31,328,797,198
480,2017-06-30,328,106,267
481,2019-03-06,419,622,385
482,2017-08-26,846,913,644
483,2019-01-12,302,160,606
484,2019-10-11,299,680,514
485,2017-09-27,369,647,533
486,2019-02-16,283,403,99
487,2019-01-11,996,518,21
488,2017-04-26,537,158,812
489,2019-01-06,21,906,759
490,2017-12-07,974,784,371
491,2017-12-29,986,618,562
492,2017-03-21,37,844,541
493,2017-11-08,807,768,282
494,2019-02-23,276,338,968
495,2018-08-10,855,951,742
496,2017-12-15,72,976,216
497,2019-05-16,826,74,149
498,2017-01-18,681,854,561
499,2017-02-20,742,814,736
500,2018-07-05,197,888,89
501,2017-10-11,48,222,977
502,2018-05-05,846,298,160
503,2017-05-12,413,89,833
504,2017-06-10,294,56,726
505,2018-02-20,362,165,103
506,2018-10-10,432,762,486
507,2019-01-16,89,107,2
508,2019-05-06,142,773,732
509,2019-12-01,701,411,889
510,2019-02-24,303,538,939
511,2017-08-31,15,326,101
512,2017-01-30,713,120,850
513,2019-12-06,136,453,108
514,2017-07-01,332,105,305
515,2019-05-06,754,163,102
516,2018-11-09,580,936,66
517,2019-04-29,528,203,684
518,2018-06-09,643,24,349
519,2018-11-24,157,369,457
520,2017-06-21,309,674,973
521,2017-11-09,332,810,213
522,2017-10-25,509,219,596
523,2018-05-25,425,605,288
524,2019-03-27,549,988,817
525,2018-02-15,928,163,978
526,2018-05-03,31,898,397
527,2017-07-06,761,316,408
528,2019-04-14,322,180,957
529,2019-03-25,605,622,432
530,2017-12-24,232,419,435
531,2017-11-28,938,906,301
532,2019-12-16,664,931,523
533,2018-06-10,404,750,543
534,2017-04-03,642,561,749
