id_producto,titulo,categoria
404,Daune,no_smartphone2
208,Bill,no_smartphone3
206,Taffy,smartphone
559,Maud,smartphone
683,Angelique,smartphone
277,Selia,smartphone
253,Monika,no_smartphone2
538,Liana,smartphone
575,Melanie,no_smartphone2
641,Glenda,no_smartphone3
910,Leona,no_smartphone3
22,Carlie,no_smartphone3
990,Wynne,smartphone
681,Alia,no_smartphone1
671,Marylou,no_smartphone3
313,Shel,no_smartphone1
921,Valera,no_smartphone2
560,Brandise,no_smartphone1
215,Georgetta,no_smartphone2
393,Averyl,no_smartphone1
161,Anallese,smartphone
403,Deedee,no_smartphone2
579,Korrie,no_smartphone3
764,Kara-Lynn,no_smartphone1
84,Delilah,no_smartphone1
118,Diena,no_smartphone2
285,Krystle,no_smartphone2
722,Tina,smartphone
950,Christal,no_smartphone1
967,Nerta,no_smartphone1
202,Jackie,smartphone
294,Blondelle,no_smartphone3
621,Arabel,no_smartphone1
567,Oona,smartphone
604,Gianina,no_smartphone3
662,Magdalena,no_smartphone2
464,Julieta,no_smartphone1
915,Liana,no_smartphone1
144,Robinia,no_smartphone2
527,Genevra,no_smartphone1
965,Amara,smartphone
235,Estell,smartphone
104,Flo,no_smartphone2
943,Dulce,no_smartphone1
978,Kittie,no_smartphone3
771,Jessy,no_smartphone2
273,Brynna,no_smartphone1
70,Ursulina,smartphone
137,Laurene,no_smartphone3
459,Mariele,no_smartphone2
537,Leona,no_smartphone3
994,Fidelia,smartphone
154,Concettina,no_smartphone3
221,Mildrid,no_smartphone1
920,Desirae,smartphone
313,Christy,no_smartphone3
234,Romona,no_smartphone1
113,Brena,no_smartphone3
34,Albertina,no_smartphone3
249,Corly,no_smartphone2
441,Olwen,smartphone
582,Christian,no_smartphone2
789,Maisey,smartphone
282,Arabel,no_smartphone1
171,Rosaline,no_smartphone3
22,Marguerite,no_smartphone3
880,Constance,smartphone
257,Roseline,no_smartphone1
546,Gerianna,no_smartphone3
449,Ericka,no_smartphone2
766,Alyssa,no_smartphone2
332,Ethel,no_smartphone1
49,Raina,no_smartphone3
638,Zaria,smartphone
222,Adelle,no_smartphone1
573,Charissa,no_smartphone1
34,Lizzie,smartphone
341,Selia,no_smartphone1
347,Miquela,no_smartphone3
554,Goldie,no_smartphone1
695,Monika,no_smartphone1
223,Kathy,no_smartphone2
514,Peri,no_smartphone2
684,Donetta,no_smartphone1
835,Chandra,no_smartphone1
161,Jaime,smartphone
361,Marleah,no_smartphone3
498,Genovera,no_smartphone2
68,Shauna,no_smartphone2
558,Anthia,smartphone
994,Clo,no_smartphone3
966,Alameda,no_smartphone1
418,Bobinette,no_smartphone3
481,Steffane,no_smartphone2
556,Susan,no_smartphone2
662,Millie,no_smartphone1
837,Shirlee,no_smartphone3
282,Riannon,no_smartphone2
273,Danny,no_smartphone1
907,Chrystel,no_smartphone1
697,Nicoli,smartphone
268,Brana,no_smartphone2
542,Trudie,smartphone
104,Joceline,no_smartphone1
210,Fredericka,no_smartphone3
427,Clo,no_smartphone2
662,Steffane,no_smartphone3
900,Kimberley,no_smartphone1
390,Inga,no_smartphone3
265,Cacilie,no_smartphone3
199,Berget,no_smartphone3
275,Catrina,no_smartphone3
193,Dolli,no_smartphone3
578,Joceline,no_smartphone3
973,Marika,no_smartphone3
356,Caritta,no_smartphone1
766,Teddie,no_smartphone3
850,Taffy,smartphone
632,Rozele,no_smartphone1
649,Sarette,no_smartphone1
640,Patricia,no_smartphone3
770,Caryl,no_smartphone3
251,Lacie,no_smartphone3
620,Charissa,no_smartphone1
781,Nollie,no_smartphone3
713,Renie,no_smartphone2
57,Aigneis,no_smartphone1
529,Sadie,no_smartphone1
177,Abbie,no_smartphone2
470,Caressa,no_smartphone3
473,Mariann,no_smartphone1
106,Amalie,no_smartphone1
11,Vere,no_smartphone2
7,Penelopa,no_smartphone1
254,Shauna,smartphone
794,Celisse,no_smartphone3
179,Genevra,smartphone
216,Marline,no_smartphone2
836,Wendi,no_smartphone3
591,Ellette,smartphone
15,Annabela,smartphone
966,Alex,no_smartphone1
620,Lita,no_smartphone3
576,Aili,no_smartphone3
807,Zaria,smartphone
751,Arlina,no_smartphone2
36,Lorne,smartphone
729,Sarette,no_smartphone3
736,Dulce,no_smartphone1
278,Lisette,no_smartphone1
403,Dominga,no_smartphone2
647,Taffy,no_smartphone3
731,Marcelline,no_smartphone1
877,Leona,no_smartphone1
551,Linet,smartphone
469,Anestassia,smartphone
151,Katleen,no_smartphone1
578,Renae,no_smartphone1
749,Sheree,no_smartphone3
795,Sarette,smartphone
8,Rozele,no_smartphone2
661,Dotty,no_smartphone2
966,Carlie,no_smartphone2
656,Mady,no_smartphone1
726,Roseline,no_smartphone3
203,Caritta,smartphone
315,Daune,no_smartphone1
522,Keelia,no_smartphone3
794,Shell,smartphone
250,Rhea,no_smartphone1
570,Bettine,no_smartphone3
646,Amara,no_smartphone2
623,Gui,no_smartphone2
603,Basia,no_smartphone3
85,Katleen,smartphone
669,Fayre,no_smartphone1
339,Lorenza,smartphone
88,Malina,no_smartphone2
426,Eolanda,smartphone
281,Drucie,no_smartphone1
68,Ericka,no_smartphone3
343,Helsa,smartphone
124,Lauryn,no_smartphone2
499,Gilda,no_smartphone3
60,Claresta,no_smartphone3
77,Gerianna,no_smartphone1
518,Kerrin,no_smartphone3
718,Amii,no_smartphone3
78,Addia,no_smartphone3
219,Gerianna,no_smartphone3
356,Sissy,no_smartphone1
52,Claudina,no_smartphone2
469,Ermengarde,no_smartphone1
899,Lolita,smartphone
17,Melina,no_smartphone1
7,Selia,no_smartphone1
748,Ketti,no_smartphone3
906,Livvyy,no_smartphone3
863,Tori,no_smartphone3
